;02/11;03/11;04/11;05/11;06/11;07/11;08/11;09/11;10/11;11/11;12/11;13/11;14/11;15/11;16/11;17/11;18/11;19/11;20/11;21/11;22/11;23/11;24/11;25/11
19;• День памяти предков (Дзяды) - Беларусь;• День рождения Султана Перака (Birthday of the Sultan of Perak) - Малайзия;• День дегустации вина (National Wine Tasting Day) - США;• День банковского перевода (Bank Transfer Day) - США;• День начос (National Nachos Day) - США;• День горького шоколада с миндалём (National Bittersweet Chocolate with Almonds Day) - США;• День капучино (National Cappuccino Day) - США;• Судьбоносный день, День падения Берлинской стены (Schicksalstag) - Германия;• День незабудок (National Forget-Me-Not Day) - США;• Католический праздник святого Мартина Турского (Feast of Saint Martin of Tours);• Праздник «Кали Пуджа» (Kali Puja) - Индия;• День бухгалтера (Dia del Contador Publico) - Эквадор;• День книги - Иран;• День мира (National Peace Day) - Кот-д`Ивуар;• Католический праздник святой Маргариты Шотландской (Feast of Saint Margaret of Scotland);• День недружелюбия, День удаления из друзей (National Unfriend Day) - США;• День сержанта ВСУ - Украина;• День памяти преподобного Варлаама Хутынского;• День арахисово-сливочной помадки (Peanut Butter Fudge Day) - США;• День Десантно-штурмовых войск - Украина;• День клюквенной закуски (National Cranberry Relish Day) - США;• День инженера (Dia Nacional do Engenheiro) - Португалия;• Женский день - Самоа;• День напоминания о покупках (Shopping Reminder Day) - США
20;• День фаршированных яиц (National Deviled Egg Day) - США;• День независимости Куэнки (Independence of Cuenca) - Эквадор;• День духовки «Лёгкая выпечка» (National Easy-Bake Oven Day) - США;• День внешней разведки - Казахстан;• День трудовой благодарности (Job Action Day) - США;• День шоколадного липкого пирога (Kladdkakans Dag) - Швеция;• День Победы - Азербайджан;• День греческого йогурта (National Greek Yogurt Day) - США;• День молодёжи - Кыргызстан;• День холостяков (Singles Day) - Китай;• День отца (Hari Ayah) - Индонезия;• День памяти 100 тысяч мучеников Тбилиси - Грузия;• День колумбийской женщины (Colombian Women`s Day) - Колумбия;• День посадки деревьев (National Tree Planting Day) - Шри-Ланка;• Праздник молодого вина «Божоле нуво» (Beaujolais Nouveau Day) - Франция;• День шуток на ферме (National Farm Joke Day) - США;• День семейного волонтёра (Family Volunteer Day) - США;• День супа (Tag der Suppe) - Германия;• День святого Георгия (Джеоргуыба) - Южная Осетия;• День гомеопатии (Dia Nacional da Homeopatia) - Бразилия;• День «Один на один с фартуком» (National Tie One On Day) - США;• День эспрессо (National Espresso Day) - США;• День зубной нити (National Flossing Day) - США;• День парфе (National Parfait Day) - США
21;• День «кэшбэка» (National Cash Back Day) - США;• День флага (UAE Flag Day) - ОАЭ;• День гигантского омлета (Giant Omelette Celebration) - США;• День флага - Сан-Томе и Принсипи;• День Конституции (Dominican Republic`s Constitution Day) - Доминикана;• День новой эры, День обновления (New Era Day) - Тунис;• День достаточного количества времени (National Ample Time Day) - США;• Праздник Девы Мари Альмуденской (Fiesta de la Almudena) - Испания;• День милиции - Таджикистан;• День «метал-музыки» (National Metal Day, Nigel Tufnel Day) - США;• День отца - Эстония, Финляндия, Норвегия, Швеция, Исландия;• День «охотниц» на мужчин, День Сэди Хокинс (Sadie Hawkins Day) - США;• День детей «Бал дивас» (Bal Divas) - Индия;• День пряного печенья (Spicy Hermit Cookie Day) - США;• День моря (Dia Nacional do Mar) - Португалия;• День пешеходного туризма, День похода (National Hiking Day, National Take a Hike Day) - США;• День памяти о Вуковарских событиях - Хорватия;• День работников сельского хозяйства - Украина, Казахстан, Беларусь;• День 20-N - Испания;• День ложного признания (False Confession Day) - США;• Праздник святой Сесилии (Fiesta de Santa Cecilia) - Мексика;• День поста и духовных практик «Уттхана Экадаши» (Utthana Ekadashi) - Индия;• День гордости - Монголия;• Суббота малого бизнеса (Small Business Saturday) - США
22;• День мёртвых (Day of the Dead) - Латинская Америка;• День инженерных войск - Украина;• День куриной леди (National Chicken Lady Day) - США;• День революции, День Негроса (Negros Revolution Day) - Филиппины;• День шведской культуры (Svenska dagen) - Финляндия;• День осведомлённости о лимфомах у собак (National Canine Lymphoma Awareness Day) - США;• День журналиста - Китай;• День «Сходите в художественный музей» (Go to an Art Museum Day) - США;• День полиции - Куба;• День осведомлённости о гомункулах (National Homunculus Awareness Day) - США;• День французского сэндвича (National French Dip Day) - США;• День посадки деревьев - Северная Македония;• День движения перестройки (Readjustment Movement Day) - Гвинея-Бисау;• День вина «Зинфандель» (National Zinfandel Day) - США;• День «Используйте меньше вещей» (Use Less Stuff Day) - США;• День замещающего учителя (Substitute Educators Day) - США;• День сражения при Вертриере (Battle of Vertieres Day) - Гаити;• День игры «Монополия» (National Play Monopoly Day) - США;• День военно-морского флота (Royal Thai Navy Day) - Таиланд;• День вооружённых сил - Греция;• День независимости (Lebanese Independence Day) - Ливан;• День дорожной полиции - Казахстан;• День завоевания друзей и оказания влияния на людей (Win Friends and Influence People Day) - США;• День железнодорожника (Dzien Kolejarza) - Польша
23;• День штата Огайо (National Ohio Day) - США;• День независимости (Micronesia`s Independence Day) - Микронезия;• День здоровья - Туркменистан;• День Пуно (Puno Day) - Перу;• День Конституции - Таджикистан;• Дни истории и памяти предков - Кыргызстан;• День родителя как учителя (National Parents as Teachers Day) - США;• День поста и духовных практик «Рама Экадаши» (Rama Ekadashi) - Индия;• День героев (Hari Pahlawan) - Индонезия;• День красной помады (Red Lipstick Day) - США;• День виноградаря и винодела - Украина;• День «Пустите слух» (Start a Rumor Day) - США;• День мобильной бригады (Mobile Brigade Day) - Индонезия;• День «Я люблю писать» (I Love to Write Day) - США;• День белорусской куклы - Беларусь;• День военно-медицинского работника - Армения;• Национальный праздник (National Day of Oman) - Оман;• День пожелания плохого дня (Have a Bad Day Day) - США;• День революции (Dia de la Revolucion) - Мексика;• День вооружённых сил - Бангладеш;• День банковского работника - Армения;• День президентов - Микронезия;• День коричневых локонов (Brownielocks Day) - США;• День независимости (Onafhankelijkheidsdag) - Суринам
24;• День государственности штатов Северная и Южная Дакота (North Dakota and South Dakota Statehood Day) - США;• День перьевой ручки (Fountain Pen Day) - США;• Международный фестиваль духовной музыки и искусства (Festival Internazionale di Musica e Arte Sacra) - Ватикан;• День китайской еды на вынос (National Chinese Take-out Day) - США;• День Зелёного марша (Green March Day) - Марокко;• День информации и печати - Кыргызстан;• День подстрекательства и каламбуров (Abet and Aid Punsters Day) - США;• День мясного «хлеба» (National Scrapple Day) - США;• День приднестровской милиции - ПМР;• День шоколадных палочек (Pepero Day) - Япония, Корея;• Международный фестиваль воздушных змеев (Fuerteventura International Kite Festival) - Испания;• День образования (Dia Nacional de la Educacion) - Эквадор;• День Добруджи (Dobruja Day) - Румыния;• День барабанщика (National Drummer Day) - США;• День фаст-фуда (National Fast Food Day) - США;• День кыргызского кино - Кыргызстан;• День независимости (Morocco`s Independence Day) - Марокко;• День флага (Dia da Bandeira) - Бразилия;• День имени своего компьютера (Name Your PC Day) - США;• День предпринимателя (National Entrepreneur`s Day) - США;• День работника прокуратуры - Кыргызстан;• День военно-морского флота (Dia de la Armada) - Мексика;• День «Пообедайте над кухонной раковиной» (Dine Over Your Kitchen Sink Day) - США;• День регби (National Rugby Day) - США
25;• День «Планируйте свою эпитафию» (Plan Your Epitaph Day) - США;• «Пятница Джерси» (National Jersey Friday) - США;• День железнодорожника - Украина;• День коммерческого телевещания (Commercial TV Broadcast Day) - США;• День банковского работника (Dia del Empleado Bancario) - Аргентина;• День спортивного журналиста (Dia del Periodista Deportivo) - Аргентина;• День черепов (Dia de los Natitas) - Боливия;• День изобретателя (Tag der Erfinder) - Швейцария, Германия, Австрия;• День памяти Ататюрка (Ataturk Memorial Day) - Турция;• Фестиваль белых трюфелей (Alba White Truffle International Festival) - Италия;• День здоровья (Hari Kesehatan Nasional) - Индонезия;• День памяти (Remembrance Day) - Каймановы острова;• Именины у Дениса, Ивана, Александра, Дмитрия, Сергея, Ульяны;• День хлопьев с отрубями и изюмом (National Raisin Bran Cereal Day) - США;• День «Устройте вечеринку с вашим медведем» (Have a Party with Your Bear Day) - США;• День электронной поздравительной открытки (Electronic Greeting Card Day) - США;• Именины у Тихона, Григория, Евпсихия, Галактиона;• День газированных напитков с кофеином (Carbonated Beverage with Caffeine Day) - США;• День сознания темнокожих (Dia da Consciencia Negra) - Бразилия;• День общего договора о мире (Dayton Peace Agreement Day) - Босния и Герцеговина;• День албанского алфавита (Albanian Alphabet Day) - Албания;• День семейной истории здоровья (National Family Health History Day) - США;• Пятница без меха (Fur Free Friday) - США;• День государственности (Dan drzavnosti) - Босния и Герцеговина
26;• День благодарения (National Thanksgiving Day) - Либерия;• День признательности представителям медицинских наук (National Medical Science Liaison Awareness and Appreciation Day) - США;• День бизона (National Bison Day) - США;• День американского футбола (American Football Day) - США;• День памяти короля Густава II Адольфа (Gustavus Adolphus Day) - Швеция;• День нотариуса - Грузия;• День статистика - Казахстан;• Всеукраинский день работников культуры и мастеров народного искусства - Украина;• День первого провозглашения независимости (Los Santos Uprising Day) - Панама;• День посадки деревьев (National Tree Day) - Люксембург;• День декоративных мышей и крыс (Fancy Rat & Mouse Day) - США;• Праздник эфиопских общин «Сигд» (Sigd) - Израиль;• Кузьминки осенние (Курьи именины);• День «Упакуй мамин обед» (Pack Your Mom`s Lunch Day) - США;• День матери - КНДР;• Праздник «Чхатх Пуджа» (Chhat Puja) - Индия;• День Ионы (День Млечности, Галактион);• День стеклопроизводителя - Украина;• День будущих учителей Америки (Future Teachers of America Day) - США;• День социального работника (Dzien Pracownika Socjalnego) - Польша;• День памяти Джона Кеннеди (Day of Remembrance for President John F. Kennedy) - США;• День начала противостояния - Южная Осетия;• День Государственного флага - Таджикистан;• День эвакуации в Нью-Йорке (Evacuation Day in New York City) - США
27;• День коммерческой радиопередачи (Broadcast Traffic Professionals Day) - США;• Фестиваль Европейского кино в Севилье (Festival de Cine Europeo de Sevilla) - Испания;• День скептиков (National Skeptics Day) - США;• День независимости Колона (Dia de Colon) - Панама;• День блаженного Нуно (Feast of Blessed Nuno) - Португалия;• День венгерской оперы (Hungarian Opera Day) - Венгрия;• День ветеранов-аборигенов (National Aboriginal Veterans Day) - Канада;• День государственного флага - Азербайджан;• День корпуса морской пехоты (Marine Corps Birthday, USMC Day) - США;• День десертного мороженого (National Sundae Day) - США;• День бабушки (Dia de la Abuela) - Аргентина;• День журналиста (Dia del Periodista) - Панама;;• День работников сельского хозяйства, пищевой и перерабатывающей промышленности - Кыргызстан;• День пуговиц (National Button Day) - США;• День японских шахмат «Сёги» (Shogi Day) - Япония;;• День равных возможностей (Equal Opportunity Day) - США;• День революции (Revolution Day Memorial) - Мексика;• День Аласкаттало (Alascattalo Day) - США;• День музыкального автомата (National Jukebox Day) - США;• День без благодарения, День траура (Unthanksgiving Day, National Day of Mourning) - США;• День учителя (Ogretmenler Gunu) - Турция;• День памяти короля Вачиравудха (Vajiravudh Day) - Таиланд
28;• День работника культуры - Кыргызстан;• Именины у Аркадия, Анатолия, Демьяна, Константина, Сергея, Василия, Фёдора, Владимира, Николая, Ивана, Александра, Алексея, Якова;• День игры на улице (National Play Outside Day) - США;• День пороха (National Gunpowder Day) - США;• День руководителя команды (National Team Manager Day) - США;• День нотариуса (Notary Public Day) - США;• День памяти жертв политических репрессий - Кыргызстан;• День независимости (Cambodia Independence Day) - Камбоджа;• День районных кодов (Area Code Day) - США;• Языческий праздник Эйнхериар (Einherjar) - Скандинавия;• День культурного ренессанса, День врача (Sun Yat-sen`s Birthday) - Тайвань;• День национальной мысли (Dia del Pensamiento Nacional) - Аргентина;;• День «Покажи свои мокасины» (Rock Your Mocs Day) - США;• День осведомлённости о детском горе (Children`s Grief Awareness Day) - США;• День мучеников в штате Одиша (Martyr`s Day in Odisha) - Индия;;• День парада Матушки Гусыни (Mother Goose Parade Day) - США;• День национального суверенитета (Dia de la Soberania Nacional) - Аргентина;• День государственности штата Северная Каролина (North Carolina Statehood Day) - США;• День жилищной стратегии (National Housing Strategy Day) - Канада;• День отречения (Repudiation Day) - США;• День благодарения (National Day of Thanksgiving) - Тёркс и Кайкос;• Кадрин день (Kadripaev) - Эстония
29;• День «Ищите круги» (Look for Circles Day) - США;• Илларионов день (Первая пороша - не путь);• День студентов (Nationwide Student Day, National Day of Fight against Global Arrogance) - Иран;• Именины у Якова, Николая, Владимира, Александра, Емельяна, Игната, Максима, Елисея, Ивана, Петра;• Именины у Афанасия, Алексея, Ираклия, Лаврентия, Николая, Петра, Ивана, Виктории;• День выборов (Election Day) - США;• День работников Бакинского метрополитена - Азербайджан;• День осведомлённости о микротии (National Microtia Awareness Day) - США;• День традиции (Dia de la Tradicion) - Аргентина;• День республики (Republic Day) - Мальдивы;• День «Куриного бульона для души» (National Chicken Soup for the Soul Day) - США;• Праздник «Говардхан Пуджа» (Govardhan Puja) - Индия;;• Праздник детей «Сити-го-сан» (Shichi-Go-San, 7-5-3 Day) - Япония;• День президента - Таджикистан;• День национального возрождения - Азербайджан;;• День палаточного лагеря (National Camp Day) - США;• День учителя (Vietnamese`s Teacher`s Day) - Вьетнам;• Именины у Гавриила, Михаила, Рафаила, Павла;• День психолога (Dia del Psicologo) - Венесуэла;• День Рудольфа Майстера (Rudolf Maister Day) - Словения;• День сардин (National Sardines Day) - США;• Именины у Александра, Арсакия, Афанасия, Ахии, Бориса, Владимира, Даниила, Дмитрия, Ивана, Константина, Льва, Матфея, Николая, Нила, Степана, Елизаветы, Екатерины
30;• День прибытия индийцев (Arrival of Indentured Laborers Day) - Маврикий;;• Праздник солёной рыбы Ракфиск (Rakfisk Festival) - Норвегия;• День Якова (Яков Гужник);• День Арефы (Русский светец);• День революции и солидарности - Бангладеш;• День государственности штата Монтана (Montana Statehood Day) - США;• День штата Уттаракханд (Uttarakhan Divas) - Индия;• День Мапуту (Maputo Day) - Мозамбик;• День независимости (Angolan Independence Day) - Ангола;• День Конституции - Азербайджан;• День индийского пудинга (National Indian Pudding Day) - США;;• День независимости (Palestinian Independence Day) - Палестина;• День морской пехоты - Украина;• День провинции Кентербери (Canterbury Anniversary Day) - Новая Зеландия;;• День работников гидрометеорологической службы - Украина;• Именины у Афанасия, Валерия, Евгения, Сергея, Алексея, Кирилла, Павла;• Михайлов день (Михайловские грязи);• День семейных опекунов (National Family Caregivers Day) - США;• День литовских воинов (Lietuvos kariuomenes diena) - Литва;• День объедков (National Leftovers Day) - США;• Иван Милостивый (Иван Снежный)
31;• Праздник святого Юстуса (Feast of San Giusto) - Италия;;• День детей (National Children`s Day) - ЮАР;;;• День осведомлённости о раке (National Cancer Awareness Day) - Индия;• День коктейля «Харви Волбенгер» (National Harvey Wallbanger Day) - США;• День британского пудинга (British Pudding Day) - США;• Праздник «Дхантерас», Фестиваль золотых украшений (Dhanteras) - Индия;• Суббота доноров (National Donor Sabbath) - США;• День молодёжи (National Youth Day) - Восточный Тимор;• Именины у Мавры, Анатолия, Ивана, Петра, Артемия, Николая, Леонида, Сергея, Алексея;;• День святого Леопольда (St. Leopold`s Day) - Австрия;• День «Проверьте дворники» (National Check Your Wipers Day) - США;• День борьбы за свободу и демократию (Struggle for Freedom and Democracy Day) - Чехия, Словакия;;• День Рокки и Буллвинкля (National Rocky & Bullwinkle Day) - США;• Федотов день (Зимородок, Федот Ледостав);;• День «Что тебе нравится в Америке» (What Do You Love About America Day) - США;• Именины у Родиона, Ивана, Константина, Дениса, Бориса, Петра, Георгия, Клементия, Алексея, Фелициаты, Анны, Ольги, Александра, Михаила;• День научной культуры (Dia Nacional da Cultura Cientifica) - Португалия;
32;• Именины у Артемия, Николая, Германа, Ивана, Леонида, Александра, Михаила, Петра, Павла, Герасима, Ирины;;• День кекри - Финляндия;;;• Кубок Мельбурна (Melbourne Cup Day) - Австралия;• День STEAM-образования (National S.T.E.A.M. Day) - США;• День моделей (Dia do Manequim) - Бразилия;• День науки - Кыргызстан;• День энергосбережения - Казахстан;• Праздник урожая «Хасыл байрамы» (Hasyl Bayramy) - Туркменистан;• Никодимов день (Спиридон и Никодим, День матицы);;• День финансиста, День национальной валюты - Казахстан;• День родительского участия (National Parental Involvement Day) - США;• Фестиваль «Чхатх» (Chhat Parwa) - Непал;;• День мучеников в штате Уттар-Прадеш (Martyr`s Day in Uttar Pradesh) - Индия;;;• День вторжения - Гвинея;• Родион и Ераст (Ераст - Крепкий наст, Родион Ледолом);• Всеукраинский день логиста - Украина;
33;• Артемьев день (Садок, День атаманов);;• День флага (Panama`s Flag Day) - Панама;;;• День ретинола (National Retinol Day) - США;• День конституции Понпеи (Pohnpei Constitution Day) - Микронезия;• День отелей (Dia do Hoteleiro) - Бразилия;• Именины у Арсения, Афанасия, Георгия, Дмитрия, Ивана, Максима, Мартина, Николая, Степана, Терентия, Анны, Неонилы, Анастасии;• День перемирия в Первой мировой войне - Сербия;• Праздник деревьев (National Tree Festival) - Тунис;;;• День провозглашения республики (Dia da Proclamacao da Republica) - Бразилия;• День святого Кристобаля, День основания Гаваны (Saint Cristobal Day) - Куба;• День Политехнио (Polytechneio) - Греция;;• День открытия (Dia del Descubrimiento de Puerto Rico) - Пуэрто-Рико;;;• День работников юстиции - Азербайджан;;• День наследия коренных американцев (National Native American Heritage Day) - США;
34;;;• Национальный праздник, День Конституции (Tonga National Day, Constitutional Day) - Тонга;;;• Именины у Маркиана, Матроны, Афанасия, Валерия;• Именины у Афанасия, Дмитрия, Марка, Василия, Антона;• День штата Луизиана (National Louisiana Day) - США;• Параскевы Льняницы (Бабья заступница);• День рождения султана Келантана (Sultan of Kelantan`s Birthday) - Малайзия;• День рождения Хуаны Инес де ла Крус (Birthday of Juana Ines de la Cruz) - Мексика;;;• День королевской династии (Fete de la Dynastie) - Бельгия;• День исландского языка (Dagur islenskrar tungu) - Исландия;• День президента (President`s Day) - Маршалловы острова;;• День игры на волынке (National Blow Bagpipes Day) - США;;;• День ларимара (National Larimar Day) - Доминикана;;• День слушания (National Day of Listening) - США;
35;;;• День в ожидании варваров (National Waiting for the Barbarians Day) - США;;;• Дедовские плачи (Мартирий);• Дмитриев день (В Дмитриев день и воробей под кустом пиво варит);• День Карла Сагана (Carl Sagan Day) - США;;• День образования (National Education Day) - Индия;• Поминальное воскресенье (Remembrance Sunday) - Великобритания;;;• День бандт-кекса (National Bundt Cake Day) - США;• День кларнета в оркестре военно-морского флота (U.S. Navy Band`s Clarinet Day) - США;• Именины у Никандра, Ивана, Степана, Александра, Николая, Ильи, Евгении;;• День интеграции (Quami Ekta Divas) - Индия;;;• Именины у Александра, Виктора, Ильи, Матроны, Порфирия, Цецилии, Антона, Ильи, Константина, Ивана;;• День переворота - Заир;
36;;;• День памяти святого Карло Борромео (Day of Saint Charles Borromeo) - Андорра;;;;;• День Икбала (Allama Iqbal Day) - Пакистан;;• День независимости Картахены (Cartagena Independence Day) - Колумбия;• День махоре (Journee Nationale Maore) - Коморские острова;;;• День немецкоязычного сообщества (German Community Day) - Бельгия;• День здоровья в сельских поселениях (National Rural Health Day) - США;• Ерёмин день (Пришёл Ерёма - сиди дома);;• Национальный день (La Fete du Prince) - Монако;;;• Матрёны зимние (Зимний день);;• День революции - Конго;
37;;;• День уничтожения тыквы (Pumpkin Destruction Day) - США;;;;;• Именины у Андрея, Николая, Ивана, Степана, Сергея, Максима;;• День памяти павших (Remembrance Day, Armistice Day) - Великобритания, Франция, Канада;• День Элизабет Кэди Стэнтон (Elizabeth Cady Stanton Day) - США;;;• День обслуживающего персонала в образовании (National Educational Support Professionals Day) - США;• «Великий американский дымок» (Great American Smokeout) - США;;;• День макиато (National Macchiato Day) - США;;;;;• День мученичества гуру Тегха Бахадура (Guru Tegh Bahadur`s Martyrdom Day) - Индия;
38;;;• День социального работника - Армения;;;;;• Зарок на Параскеву (Обеты, Нестор Летописец);;• Начало карнавального сезона (Opening of the Carnival Season) - Германия;• День пупусы (Dia Nacional de las Pupusas) - Сальвадор;;;• День американского предпринимательства (American Enterprise Day) - США;• День работников радио, телевидения и связи - Украина;;;• День американского производства (American Made Matters Day) - США;;;;;• День Лачита (Lachit Divas) - Индия;
39;;;• День всех святых (All Saint`s Day) - Швеция, Финляндия;;;;;;;• День Конституции, День рождения короля (Birthday of King Jigme Singye Wangchuck) - Бутан;• День медицинских работников - Узбекистан;;;• День покаяния и молитвы (Buss- und Bettag) - Германия;• День возрождения (Taassunni paev) - Эстония;;;• День народа гарифуна (Garifuna Settlement Day) - Белиз;;;;;• День Ди Би Купера (D.B. Cooper Day) - США;
40;;;• День работников таможенных органов - Туркменистан;;;;;;;• День ветеранов (Veterans Day) - США;• Именины у Артёма, Анастасии, Степана, Елены, Александра, Максима;;;• День филантропа (National Philanthropy Day) - США;• День стомированных пациентов (Dia Nacional dos Ostomizados) - Бразилия;;;• День народного траура (Volkstrauertag) - Германия;;;;;• Именины у Виктора, Викентия, Максима, Стефаниды, Фёдора, Евгения;
41;;;• День национального единства и вооружённых сил (Giornata dell`Unita Nazionale e delle Forze Armate) - Италия;;;;;;;• День государственности штата Вашингтон (Washington Statehood Day) - США;• Зиновий и Зиновия (Зинькин день, Зиновий Синичник);;;• День основания Корпуса морской пехоты (Indonesian Marine Corps Birthday) - Индонезия;• День национальный прессы (National Press Day) - Индия;;;• День освобождения (Liberation Day) - Мали;;;;;• Мартынов день (Фёдор Заметуха, Студенец);
42;;;• День служения обществу (Community Service Day) - Доминика;;;;;;;• День Синт-Мартена (Sint Maarten`s Day) - Синт-Мартен;;;;• День памяти Рафаила Калиновского - Польша;• День государственности штата Оклахома (Oklahoma Statehood Day) - США;;;• Именины у Павла, Германа, Клавдии, Александры, Виктора, Никиты;;;;;;
43;;;• День гражданства (Citizenship Day) - Северные Марианские острова;;;;;;;• Праздник независимости (Narodowe Swieto Niepodleglosci) - Польша;;;;• День Стива Ирвина (Steve Irwin Day) - Австралия;• День штата Индиана (National Indiana Day) - США;;;• Павел Ледостав (Павел Исповедник);;;;;;
44;;;• Именины у Анны, Константина, Владимира, Максима, Ивана, Александра, Дениса, Василия, Елизаветы, Ираклия, Николая;;;;;;;• День Лачплесиса (Lacplesa diena) - Латвия;;;;• Именины у Маркиана, Константина, Демьяна, Ивана, Кузьмы;• День флага (Statia Day) - Бонэйр, Синт-Эстатиус, Саба;;;;;;;;;
45;;;• Осенняя Казанская (Бабья заступница);;;;;;;• Именины у Анастасии, Марии, Анны, Андрея, Афанасия, Василия, Виктора, Ивана, Кирилла, Алексея, Павла, Николая, Тимофея, Евгения;;;;• Акиндин и Пигасий (Житница);• День дипломатической службы (Dzien Sluzby Zagranicznej) - Польша;;;;;;;;;
46;;;;;;;;;;• Аврамий Овчар (Анастасия Овечница);;;;;• Именины у Агапа, Георгия, Гертруды, Дмитрия, Анны, Иосифа, Малгожаты, Михаила, Эдмунда, Владимира, Николая;;;;;;;;;
47;;;;;;;;;;;;;;;• Анна Холодная (Анна без снега - не жди хлеба);;;;;;;;;
